"","Lower Tangle","Shallow Tangle","Round Tangle","Upper Tangle","Out"
"Lower Tangle","","13","1","0","22"
"Shallow Tangle","","","63","0","5"
"Round Tangle","","","","0","19"
"Upper Tangle","","","","","10"
"Out","","","","",""
