"","from","to","Tagging","6/23/2022","7/11/2022","7/21/2022","8/10/2022","8/23/2022","9/13/2022","9/27/2022","10/26/2022","4/27/2023","6/4/2023","6/23/2023","7/17/2023","8/15/2023","9/22/2023"
"1","Lower Tangle","Lower Tangle","32 80% (6%)","31 97% (3%)","34 100% (0%)","34 100% (0%)","33 97% (3%)","33 100% (0%)","32 97% (3%)","33 100% (0%)","33 100% (0%)","32 97% (3%)","31 97% (3%)","30 97% (3%)","30 97% (3%)","27 87% (6%)","18 64% (9%)"
"2","","Shallow Tangle","3 8% (4%)","1 3% (3%)","","","1 3% (3%)","","","","","","1 3% (3%)","1 3% (3%)","","",""
"3","","Round Tangle","","","","","","","","","","","","","","",""
"4","","Upper Tangle","","","","","","","","","","","","","","",""
"5","","Out","5 12% (5%)","","","","","","1 3% (3%)","","","1 3% (3%)","","","1 3% (3%)","4 13% (6%)","10 36% (9%)"
"6","Shallow Tangle","Lower Tangle","","3 12% (7%)","","","","","1 12% (12%)","","","","","1 6% (6%)","1 9% (9%)","",""
"7","","Shallow Tangle","19 86% (7%)","12 50% (10%)","11 85% (10%)","8 73% (14%)","8 89% (11%)","6 60% (16%)","5 62% (18%)","6 100% (0%)","10 100% (0%)","10 100% (0%)","15 94% (6%)","10 56% (12%)","1 9% (9%)","","2 50% (29%)"
"8","","Round Tangle","3 14% (7%)","7 29% (9%)","2 15% (10%)","3 27% (14%)","1 11% (11%)","3 30% (15%)","1 12% (12%)","","","","1 6% (6%)","7 39% (12%)","9 82% (12%)","1 100% (NaN%)","1 25% (25%)"
"9","","Upper Tangle","","","","","","","","","","","","","","",""
"10","","Out","","2 8% (6%)","","","","1 10% (10%)","1 12% (12%)","","","","","","","","1 25% (25%)"
"11","Round Tangle","Lower Tangle","","","","","","","","","","","","","","1 3% (3%)",""
"12","","Shallow Tangle","2 8% (6%)","","","1 3% (3%)","1 3% (3%)","2 6% (4%)","1 3% (3%)","4 13% (6%)","","6 22% (8%)","2 10% (7%)","","","4 12% (6%)","1 4% (4%)"
"13","","Round Tangle","21 84% (7%)","24 100% (0%)","31 100% (0%)","31 94% (4%)","31 91% (5%)","28 88% (6%)","30 97% (3%)","27 87% (6%)","27 100% (0%)","21 78% (8%)","17 81% (9%)","16 89% (8%)","23 100% (0%)","27 84% (7%)","19 68% (9%)"
"14","","Upper Tangle","","","","","","","","","","","","","","",""
"15","","Out","2 8% (6%)","","","1 3% (3%)","2 6% (4%)","2 6% (4%)","","","","","2 10% (7%)","2 11% (8%)","","","8 29% (9%)"
"16","Upper Tangle","Lower Tangle","","","","","","","","","","","","","","",""
"17","","Shallow Tangle","","","","","","","","","","","","","","",""
"18","","Round Tangle","","","","","","","","","","","","","","",""
"19","","Upper Tangle","12 92% (8%)","12 100% (0%)","12 100% (0%)","9 75% (13%)","8 89% (11%)","8 100% (0%)","7 88% (12%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","5 71% (18%)","4 80% (20%)","4 100% (0%)","3 75% (25%)"
"20","","Out","1 8% (8%)","","","3 25% (13%)","1 11% (11%)","","1 12% (12%)","","","","","2 29% (18%)","1 20% (20%)","","1 25% (25%)"
"21","Out","Lower Tangle","","","","","","","","","","","","","","",""
"22","","Shallow Tangle","","","","","","","","","","","","","","",""
"23","","Round Tangle","","","","","","","","","","","","","","",""
"24","","Upper Tangle","","","","","","","","","","","","","","",""
"25","","Out","","8 100% (0%)","10 100% (0%)","10 100% (0%)","14 100% (0%)","17 100% (0%)","20 100% (0%)","23 100% (0%)","23 100% (0%)","23 100% (0%)","24 100% (0%)","26 100% (0%)","30 100% (0%)","32 100% (0%)","36 100% (0%)"
